"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"227","ADAMTS14",1549,381,101,4,572,16,75,385,406,225,458,80,787,8989,1600,392,123,2686,1036,252,148,521,2250,166,1610,332,89,377,469,26
"7227","LOC653786",775,44,261,623,767,1392,1640,284,85,1844,392,1006,42,1111,715,891,826,1797,1809,20,181,965,563,544,250,1227,137,1362,1136,3441
"9180","P2RY12",1282,31,257,1443,2374,634,3076,49,320,260,68,1429,27,1178,730,263,609,118,1093,17,1068,1510,2130,149,315,397,1871,768,1371,1509
"8192","MS4A4A",2767,81,697,1217,1519,38,2988,27,2,9,164,1891,521,447,74,19,130,9,56,140,6684,687,711,381,31,3,1981,2357,853,13
"10548","QPRT",353,1501,1083,207,3249,389,1518,698,330,1084,125,167,1602,100,3816,455,1085,295,21,274,184,131,46,159,1535,522,1926,61,883,2737
"13768","TRABD2A",1677,850,682,1035,1062,106,956,448,167,290,82,1223,479,561,605,491,283,1319,1045,773,889,889,336,595,411,218,511,820,7853,110
"13842","TRIM29",17,1065,977,314,58,459,708,2120,2296,6299,23,39,82,732,61,375,363,466,208,319,12,58,128,7,3752,2025,254,52,1857,1670
"14634","WNT10B",131,1452,310,79,171,35,1311,996,502,523,78,21,397,2575,120,51,1116,5203,1152,553,54,107,41,163,1824,130,7,667,3512,3547
"1120","AVPR2",913,203,373,494,949,166,1426,289,541,521,306,1242,200,2064,802,1345,1207,990,2418,156,600,888,1529,371,2060,1436,665,581,937,1188
"13972","TSPAN8",73,20,402,3499,218,2076,258,751,193,2275,236,254,160,2836,15,289,360,3762,916,455,59,95,731,195,855,2184,92,951,2000,711
"9145","OSR2",496,1653,587,276,727,507,471,181,872,320,165,42,1400,2521,3847,30,4871,756,96,282,143,24,92,372,1207,149,567,99,2964,1686
"7359","LRRC4B",524,82,622,5023,607,1669,202,3390,724,526,449,3496,102,241,133,2032,462,174,459,202,1979,470,592,87,78,232,509,1742,184,442
"11812","SHC4",757,402,493,2356,450,526,335,2887,808,281,549,772,126,336,404,1380,98,1403,1028,2335,1902,1786,554,105,75,99,234,3997,189,819
"1034","ATP2B2",64,122,6045,816,1352,126,1507,218,242,156,17,422,452,37,233,15,169,24,70,85,475,33,7,68,66,32,11015,89,3463,186
"11126","ROCK1P1",663,151,692,649,570,1375,1859,1358,1063,820,929,763,289,4245,198,1365,1937,779,778,116,243,143,871,111,1466,1761,156,1629,213,612
"13317","TLCD1",716,561,219,122,563,2474,407,586,4160,1158,500,533,220,794,4141,902,240,210,318,496,539,1684,1872,180,776,301,481,575,48,2095
"8957","NTN1",724,1050,1418,985,838,520,124,683,260,531,643,2734,1417,406,108,56,3534,773,377,1159,2096,156,1048,986,887,849,1133,450,1852,81
"6875","LINC01330",84,136,10,131,283,1309,54,475,15,2954,96,268,137,380,173,154,754,13926,744,243,19,246,430,822,299,499,10,604,1556,1399
"8330","MYC",273,67,203,630,881,200,397,130,707,736,374,465,104,267,883,153,897,190,161,62,724,262,531,694,42,310,5799,39,10945,1187
"11384","S100A4",26,1362,720,486,32,47,461,1304,1358,3353,33,32,31,1479,211,712,586,2162,837,757,13,148,251,28,2994,1095,53,152,2726,4913
"5945","IGSF9",2737,2996,1004,239,486,966,655,858,258,1017,469,77,1488,476,210,60,160,2669,192,2897,735,628,115,1195,846,390,457,116,3638,369
"12143","SLC7A4",27,403,328,1374,384,217,645,1293,1203,817,159,330,227,450,3527,1748,6197,1058,236,51,173,682,374,52,1290,523,1298,831,775,1748
"9331","PCDH10",9,68,222,9557,2,421,165,702,65,180,93,3119,429,156,584,1072,65,97,765,19,1852,310,272,247,16,84,1677,2473,2053,1708
"12350","SNORD79",2129,783,115,266,1794,602,649,354,1230,283,1926,1123,781,2051,1785,684,2879,599,270,1285,745,1448,1484,903,927,449,386,426,92,429
"9526","PERP",368,43,260,796,342,1907,260,411,481,5635,99,877,15,209,396,876,425,1149,3085,420,266,1067,1821,322,285,1000,313,1513,2099,2163
"13572","TMEM86A",675,100,65,496,992,114,1765,41,476,114,444,1646,382,684,3066,762,96,142,202,315,3119,5079,885,452,43,73,1414,1388,1144,2730
"13659","TNNC1",999,945,1014,688,303,369,1076,1872,520,243,1810,1328,1187,1061,471,367,635,802,715,1300,3714,604,328,2318,210,197,709,2086,1050,61
"10609","RAB42",1008,436,232,509,791,119,3460,273,489,205,1367,3070,363,159,898,793,629,354,346,1761,1871,3720,932,2209,147,150,571,727,705,802
"244","ADAMTSL4",552,2394,929,104,631,641,1483,874,1263,906,497,7,1504,2712,2664,43,769,2230,200,621,194,96,110,734,1404,183,311,444,1542,3404
"6727","LILRA1",1684,935,569,852,665,434,117,369,129,89,496,2894,1749,733,711,221,137,136,358,247,9455,384,440,510,242,101,2609,1523,687,22
"2883","CRIP1",16,1941,653,894,60,39,661,1057,144,1021,80,119,977,134,200,311,461,1647,620,410,170,38,16,197,740,97,452,205,7927,8255
"5408","HAR1A",695,416,699,8121,258,614,1249,1706,98,56,761,2501,407,283,40,363,372,108,104,508,5075,496,357,664,18,30,181,2988,305,164
"14608","WDR97",3055,1084,1369,19,2489,3198,759,1142,2339,1371,1259,85,1090,327,3982,290,131,207,179,1071,187,83,1131,713,982,400,867,417,50,134
"9336","PCDH7",565,141,770,2650,2133,326,548,93,70,998,25,965,396,148,255,173,376,299,372,124,789,1317,170,306,332,222,1328,288,12136,2115
"2267","CEACAM21",1010,1580,1301,1615,2971,768,1277,546,104,586,289,3533,2013,265,890,3027,567,491,40,324,1343,399,257,492,732,1201,423,117,648,1774
"13646","TNFSF4",179,798,448,260,145,793,1252,1287,1146,3424,283,136,112,2504,395,393,1269,2839,619,376,73,638,559,164,2349,1548,48,798,1315,4598
