"gene"	"B.cells.memory"	"B.cells.naive"	"Dendritic.cells.activated"	"Dendritic.cells.resting"	"Endothelium"	"Eosinophils"	"Epithelial"	"Fibroblast"	"Macrophages.M0"	"Macrophages.M1"	"Macrophages.M2"	"Mast.cells.activated"	"Mast.cells.resting"	"Monocytes"	"Neutrophils"	"NK.cells.activated"	"NK.cells.resting"	"Plasma.cells"	"T.cells.CD4.memory.activated"	"T.cells.CD4.memory.resting"	"T.cells.CD4.naive"	"T.cells.CD8"	"T.cells.follicular.helper"	"T.cells.gamma.delta"	"T.cells.regulatory..Tregs."
"SMPD3"	110.439134198177	43.4571833528704	30.8780199507322	15.1038974538015	62.622989276042	1926.43770400499	35.0597205967204	53.9795450221711	45.2202673701865	49.2200595112497	73.2296126079463	20.1437188365113	8.81698150240318	22.8005807551291	183.148684676018	112.304946834542	64.7238354279176	255.549931134976	9.64257546132438	34.4062342292603	26.1674699158108	49.8768570821719	326.633169634562	73.8620418224899	15.6057351737145
"SOCS1"	12.1421644118511	13.3862465145869	234.645389077792	75.1658080535033	34.6699392368877	36.994857976416	41.7512641833222	62.9412953092779	173.257936204819	3464.06530494013	595.701139831981	41.3917563380312	34.2323461632479	12.5219175752077	23.1764730152555	1078.02874180003	33.4319263279402	10.2025614847955	921.380858349181	90.1348295057317	177.781335761257	122.202710008231	176.264591131699	55.3384317358303	465.773853512276
"SP140"	1617.35162921698	566.665592941766	206.159792483683	52.9998717348412	7.81024501622485	577.963162701134	8.52697582522197	5.93137123984976	178.32031254381	128.979619830235	19.663498058229	18.1522406414256	39.0058810588282	80.0369826871698	168.234319420328	342.427599511076	354.130254519941	800.448312028787	328.970341474704	475.940231743133	285.268511328144	362.402906452512	412.874006220796	374.68791725249	512.502871132453
"SPAG4"	12.4023119683397	6.25924535732834	30.4370009994555	6.86659133359922	126.446772512417	37.8919999068211	128.701272838321	179.903396983172	63.9255933919397	15.473493192827	6.12540638918518	75.5661474886245	28.244573090846	11.9338556692285	17.397344226995	33.7652936656721	4.26931489406938	3608.8285868217	85.558995070485	47.1041863690165	32.3979769887511	41.8927134109612	41.9289957687658	57.4262569129463	31.2171393608688
"SPOCK2"	766.986123629459	861.659490264223	157.48235921702	156.072596486633	112.294849493807	342.702536708935	88.7500377330094	139.313699392863	127.014835168477	98.6628445769104	76.5706075657236	129.006222552757	164.639185309015	211.59848392407	447.204351461389	566.004785657344	900.826294362402	321.798793062679	919.441191403525	2891.39315899657	3152.48726108726	3154.71378946929	2286.1696391032	2221.02700033083	3802.49340482624
"ST3GAL6"	18.1534457050049	43.8324657628267	958.776994153938	340.114232013575	259.839208406855	1793.04971559937	73.4775672934084	3.27208833659895	636.8186420608	30.4952793154509	146.7477271432	659.008393848623	730.517155426722	292.306075081291	353.587292112165	10.3706737487229	18.3996570079065	48.2554320383132	3.34542482658769	3.27326397579158	11.5861377056127	3.47779046299496	5.15968125131486	30.2402888088274	11.4947622285012
"ST6GALNAC4"	315.854114908308	199.187202986112	162.038169518138	286.252852295088	305.093345003826	102.387066492973	165.919752772408	244.447171116228	202.25017200555	99.9838745392993	193.979513059657	94.1102793720181	84.6734566953068	151.050710428467	141.835020777442	179.08318443476	190.423997821226	1976.3917333098	228.075398092594	341.343210476488	199.715384601512	346.414873899798	209.66019126067	315.397655026601	628.049134992059
"ST8SIA1"	26.4262874885668	30.46661374674	7.68120956039529	3.36657754482437	0.911891426069949	3.35754271051006	2.09800220256526	1.9663651753584	29.0798749211305	9.24654550053124	1.71766232967252	43.436099837551	261.27647260988	5.3516574438875	9.52622962537408	7.65165982960692	3.21415282598617	5.29542393284443	72.4484658327487	229.872353131653	26.3176584480976	53.033644723277	2030.15919375224	53.9556667092085	18.5547217176658
"STEAP4"	3.23582239972631	1.36251960394692	12.6563626344495	32.4742489833519	4.24218995235237	16.9488802877553	8.93821561897965	5.86988217321493	12.227647434696	15.7136348558608	14.673579283776	29.7068039841671	24.4723320805354	82.7250298706147	595.786291625419	9.79592528224372	4.79079823570589	4.03172324688073	1.57547253844794	0.976841558537704	0.88320035092365	2.47907942214507	1.72888577293245	4.47843627221032	46.9586546691782
"STXBP6"	6.2948564434189	7.17603555904934	9.6651078855871	6.82176626728258	9.66224857062294	11.2112354447807	99.4138096686831	123.082709658474	5.84283084161813	17.3259208535385	7.12858504227388	195.764099943488	272.799838544356	7.95181065528724	8.4080981429709	6.60260150101545	5.57544883648691	21.5325271501238	7.53703780235016	12.5662733417738	7.97649104980153	9.17632809583163	8.41313154804964	9.6747874217279	4.26072968795318
