"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"10253","PROCA1",317,1710,484,877,238,1476,2460,115,186,896,97,679,675,610,781,272,1506,961,269,110,24,544,1359,439,815,134,264,645,864,44
"12835","SULF1",351,632,540,157,249,204,87,21,269,533,537,466,617,44,210,88,757,555,547,2078,161,174,1094,875,287,373,3500,558,170,3728
"6665","LCP2",276,272,138,577,1440,550,108,1436,547,304,1353,255,792,208,274,329,144,96,1012,190,3112,282,247,702,298,146,1001,328,338,3191
"5254","GRIN2A",582,92,182,312,1040,137,65,55,167,23,806,7,53,50,764,3,32,80,472,83,2425,229,5,394,40,351,93,76,18,11415
"11391","S1PR2",394,596,200,500,832,553,263,267,365,308,1427,509,300,494,220,381,232,268,351,629,1528,276,1185,461,163,896,3148,304,559,2442
"13772","TRAF1",553,569,1054,514,608,729,379,801,1555,111,946,305,494,876,776,675,173,188,927,329,2240,302,541,94,140,1292,489,56,312,2210
"11066","RNF165",1771,27,453,1306,1836,733,2218,1554,30,246,221,1428,167,203,77,153,325,1115,385,404,4,33,702,142,235,138,982,1264,2098,41
"12305","SNHG18",622,3880,122,1756,679,2934,2429,171,104,161,25,365,228,296,421,82,862,984,700,41,2,857,382,202,284,307,26,1176,349,69
"12186","SLPI",513,1028,218,372,314,1268,420,428,533,554,49,744,1041,218,427,326,1193,1344,481,339,234,1070,1569,1586,529,221,799,2025,222,640
"6931","LMX1A",242,1281,76,198,78,980,262,683,289,1301,60,445,414,981,100,2064,521,503,148,343,642,2053,3028,582,1566,166,1077,354,212,268
"14415","VAV1",114,256,258,558,1608,666,13,644,857,301,2742,177,186,95,611,214,179,47,2041,164,1611,76,145,433,223,79,414,229,134,5842
"6727","LILRA1",440,1170,254,199,2088,571,235,1478,487,49,480,136,1745,148,442,83,166,100,2072,352,1862,732,73,1444,70,263,184,232,225,3482
"330","AEN",803,776,189,434,898,744,583,272,388,578,1141,518,51,378,394,887,1047,1156,539,193,185,280,211,665,616,128,2913,3063,250,986
"10028","POU2F2",1359,287,131,242,1145,372,265,774,225,125,454,149,302,104,67,572,73,400,1206,1395,2928,458,95,271,187,769,1126,509,251,5222
